name,N,alpha0_best,A_morph,chi2_WT_best,chi2_WT_kappa,chi2_MOND,chi2_LCDM,WT_wins,MOND_wins,LCDM_wins,delta_chi2_WT_MOND,delta_chi2_WT_LCDM,Vmax_kms,Rout_kpc,f_gas_mean,f_gas_outer,M200_Msun,log10_M200,a_char,log10_a_char,m_used,A_morph_cluster,A_morph_cluster_confidence,A_morph_cluster_center
NGC6015,44,1.548,1.40558,15.3532,36.8177,14.8412,8.89682,0,0,1,0.512027,6.4564,166.0,29.23,0.115234,0.230631,1519330000000.0,12.1817,3.05518e-11,-10.515,1,1,1.0,1.1364993942857144
NGC6195,23,0.758,0.688264,31.2808,35.3381,65.9496,111.663,1,0,0,-34.6687,-80.3818,258.0,36.43,0.0277777,0.0849177,5704100000000.0,12.7562,5.92147e-11,-10.2276,1,1,1.0,1.1364993942857144
NGC6503,31,1.283,1.16496,13.2933,40.3704,51.915,30.3651,1,0,0,-38.6217,-17.0718,121.0,23.5,0.119725,0.214025,588415000000.0,11.7697,2.01907e-11,-10.6948,1,1,1.0,1.1364993942857144
NGC6674,15,1.415,1.28482,25.2892,115.939,31.7751,54.7955,1,0,0,-6.48596,-29.5063,291.0,72.41,0.0684651,0.132023,8184770000000.0,12.913,3.78998e-11,-10.4214,1,1,1.0,1.1364993942857144
NGC6789,4,3.0,2.724,1.25002,9.70144,5.4875,8.97611,1,0,0,-4.23748,-7.72609,60.4,0.71,0.187103,0.235782,73187800000.0,10.8644,1.66519e-10,-9.77854,1,1,1.0,1.1364993942857144
NGC6946,58,0.803,0.729124,39.3848,46.3576,94.6382,194.833,1,0,0,-55.2534,-155.448,181.0,20.4,0.0393187,0.070327,1969530000000.0,12.2944,5.20447e-11,-10.2836,1,1,1.0,1.1364993942857144
NGC7331,36,1.102,1.00062,114.004,114.004,162.55,260.322,1,0,0,-48.5458,-146.319,257.0,36.31,0.0391273,0.0679242,5638030000000.0,12.7511,5.89508e-11,-10.2295,1,1,1.0,1.1364993942857144
NGC7793,46,1.249,1.13409,1.0267,1.15568,1.47245,2.36039,1,0,0,-0.445751,-1.33369,116.0,7.87,0.0463935,0.176396,518444000000.0,11.7147,5.54103e-11,-10.2564,1,1,1.0,1.1364993942857144
NGC7814,18,2.437,2.2128,7.23501,121.719,46.3042,16.3333,1,0,0,-39.0691,-9.09834,265.0,19.53,0.0100447,0.0290841,6181090000000.0,12.7911,1.1653e-10,-9.93356,1,1,1.0,1.1364993942857144
PGC51017,6,0.23,0.20884,1.88239,96.1177,156.0,21.6048,1,0,0,-154.117,-19.7224,20.5,3.63,0.316249,0.489548,2861470000.0,9.45659,3.75189e-12,-11.4257,1,1,1.0,1.1364993942857144
UGC00128,22,1.247,1.13228,58.6194,117.403,120.67,42.8817,0,0,1,-62.0509,15.7377,134.0,53.75,0.344269,0.53915,799175000000.0,11.9026,1.08263e-11,-10.9655,1,1,1.0,1.1364993942857144
UGC00191,9,1.209,1.09777,7.51157,13.6939,41.6627,22.248,1,0,0,-34.1512,-14.7364,83.85,9.98,0.152579,0.527089,195811000000.0,11.2918,2.2831e-11,-10.6415,1,1,1.0,1.1364993942857144
UGC00634,4,1.444,1.31115,1.16915,69.5552,1.31336,57.5568,1,0,0,-0.144218,-56.3877,108.0,18.01,0.445526,0.621912,418407000000.0,11.6216,2.09886e-11,-10.678,1,1,1.0,1.1364993942857144
UGC00731,12,1.388,1.2603,9.94559,15.8912,10.5101,11.8925,1,0,0,-0.564495,-1.9469,74.0,10.91,0.596409,0.8859,134593000000.0,11.129,1.62663e-11,-10.7887,1,1,1.0,1.1364993942857144
UGC00891,5,1.178,1.06962,8.28832,14.2006,62.0413,55.6683,1,0,0,-53.753,-47.3799,63.75,7.39,0.497654,0.617888,86053500000.0,10.9348,1.78224e-11,-10.749,1,1,1.0,1.1364993942857144
UGC01230,11,1.096,0.995168,2.82073,2.82106,3.62807,1.95593,0,0,1,-0.807336,0.864806,113.0,36.54,0.277514,0.617116,479251000000.0,11.6806,1.1325e-11,-10.946,1,1,1.0,1.1364993942857144
UGC01281,25,1.179,1.07053,1.20011,1.27776,1.98505,2.31318,1,0,0,-0.784942,-1.11307,56.9,4.99,0.305092,0.557447,61187800000.0,10.7867,2.10268e-11,-10.6772,1,1,1.0,1.1364993942857144
UGC02023,5,0.721,0.654668,0.519641,1.3892,4.07005,1.09198,1,0,0,-3.55041,-0.572338,58.8,3.78,0.119904,0.221217,67524200000.0,10.8295,2.96423e-11,-10.5281,1,1,1.0,1.1364993942857144
UGC02259,8,1.819,1.65165,10.9841,95.3541,21.3374,88.8462,1,0,0,-10.3533,-77.862,90.0,8.14,0.201657,0.370437,242134000000.0,11.3841,3.22485e-11,-10.4915,1,1,1.0,1.1364993942857144
UGC02455,8,0.05,0.0454,37.3632,94.7733,134.801,124.438,1,0,0,-97.4375,-87.0748,61.0,4.03,0.0667456,0.172199,75390600000.0,10.8773,2.99229e-11,-10.524,1,1,1.0,1.1364993942857144
UGC02487,17,2.048,1.85958,67.9301,565.153,151.902,28.9219,0,0,1,-83.9722,39.0082,383.0,80.38,0.0271031,0.0612356,18660500000000.0,13.2709,5.91424e-11,-10.2281,1,1,1.0,1.1364993942857144
UGC02885,19,1.499,1.36109,1.0769,9.21624,1.85935,4.40173,1,0,0,-0.782452,-3.32483,305.0,74.07,0.0845053,0.220965,9423830000000.0,12.9742,4.07012e-11,-10.3904,1,1,1.0,1.1364993942857144
UGC02916,43,0.867,0.787236,176.35,178.413,240.862,340.78,1,0,0,-64.5119,-164.429,218.0,38.0,0.0446699,0.245109,3441100000000.0,12.5367,4.05302e-11,-10.3922,1,1,1.0,1.1364993942857144
UGC02953,115,1.979,1.79693,55.3556,344.121,133.634,118.611,1,0,0,-78.2781,-63.2553,319.0,62.39,0.0110809,0.0487413,10782000000000.0,13.0327,5.28586e-11,-10.2769,1,1,1.0,1.1364993942857144
UGC03205,48,1.595,1.44826,5.76742,51.464,4.45297,6.60498,0,1,0,1.31446,-0.837556,237.0,40.04,0.028772,0.126606,4421530000000.0,12.6456,4.54624e-11,-10.3423,1,1,1.0,1.1364993942857144
UGC03546,30,1.44,1.30752,17.9491,61.3087,31.1097,190.869,1,0,0,-13.1606,-172.92,262.0,29.23,0.0127934,0.0430345,5973540000000.0,12.7762,7.61068e-11,-10.1186,1,1,1.0,1.1364993942857144
